['"1416938486986"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
['"1416938488006"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"509"'],0,0,0.0,0.0
['"1416938489018"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
['"1416938490025"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"509"'],0,0,0.0,0.0
['"1416938491029"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
['"1416938492032"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
['"1416938493048"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
['"1416938494051"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"509"'],0,0,0.0,0.0
['"1416938495059"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"509"'],0,0,0.0,0.0
['"1416938496079"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
['"1416938497299"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"509"'],0,0,0.0,0.0
['"1416938498299"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
['"1416938499306"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
['"1416938500312"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
['"1416938501330"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
['"1416938502333"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
['"1416938503337"', '"0"', '"0"', '"0"', '"0"', '"-30269"', '"3"', '"s0000"', '"0"', '"0"', '"508"'],0,0,0.0,0.0
